,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
439,53057,16.3,52525,8.6,90.9,13.46
440,53061,11.2,67443,5.8,86.6,12.2
441,53063,17,47577,8.2,93.0,6.05
442,53067,12.5,59877,7.6,75.2,9.15
443,53073,16.4,51119,7.4,81.8,5.33
444,54003,13.2,54010,5.6,117.3,34.96
445,54005,22.5,38098,9.6,190.3,74.31
446,54011,23.4,37628,5.8,149.7,44.27
447,54019,22.6,33720,8.6,94.5,43.86
448,54029,14.6,40249,8.1,143.9,33.01
449,54033,16.1,42197,5.6,144.8,23.2
450,54037,11.3,64916,4.8,91.2,27.24
451,54039,15.3,45858,5.9,156.1,25.62
452,54045,22.2,35773,9.8,272.4,44.46
453,54047,36.5,25205,12.7,158.8,76.64
454,54055,26.7,34320,7.7,169.0,33.88
455,54059,24.9,32431,11.2,179.5,46.33
456,54079,11,56102,5.7,113.0,17.65
457,54081,20.2,39998,7.3,185.8,41.86
458,54099,20,38676,6.9,78.6,36.2
459,54107,17.9,41205,6.2,148.6,13.86
460,54109,24.3,34525,9.2,220.6,56.48
461,55025,13.7,60326,4.7,63.8,13.73
462,55059,15.8,51929,7.6,79.7,19.67
463,55079,22.4,42058,8.4,92.3,18.41
464,55087,8.6,57124,6.1,68.2,5.54
465,55101,13.3,54403,8.3,91.7,15.89
466,55105,14.3,49157,7.7,91.2,15.55
467,55127,12.9,52610,6.8,72.9,13.6
468,55131,7,67276,5.7,79.0,15.07
469,55133,5.8,75652,5.5,79.9,8.89
470,55139,12.6,50469,6.4,65.5,6.49
